    x-coordinate,    y-coordinate,     temperature
1.22E-02,4.75E-03,2.84E+02
1.27E-02,4.25E-03,2.83E+02
1.17E-02,4.75E-03,2.84E+02
1.22E-02,4.25E-03,2.83E+02
1.17E-02,4.25E-03,2.83E+02
1.27E-02,5.75E-03,2.85E+02
1.22E-02,5.75E-03,2.85E+02
1.17E-02,5.75E-03,2.85E+02
1.13E-02,5.75E-03,2.85E+02
1.08E-02,5.75E-03,2.85E+02
1.12E-02,5.25E-03,2.84E+02
1.03E-02,5.75E-03,2.85E+02
1.08E-02,5.25E-03,2.84E+02
9.75E-03,5.75E-03,2.85E+02
1.03E-02,5.25E-03,2.84E+02
9.25E-03,5.75E-03,2.85E+02
9.75E-03,5.25E-03,2.84E+02
8.75E-03,5.75E-03,2.85E+02
9.25E-03,5.25E-03,2.84E+02
8.25E-03,5.75E-03,2.84E+02
8.75E-03,5.25E-03,2.84E+02
7.75E-03,5.75E-03,2.84E+02
8.25E-03,5.25E-03,2.84E+02
7.25E-03,5.75E-03,2.84E+02
7.75E-03,5.25E-03,2.84E+02
6.75E-03,5.75E-03,2.84E+02
7.25E-03,5.25E-03,2.84E+02
6.25E-03,5.75E-03,2.84E+02
6.75E-03,5.25E-03,2.84E+02
5.75E-03,5.75E-03,2.84E+02
6.25E-03,5.25E-03,2.84E+02
5.25E-03,5.75E-03,2.84E+02
5.75E-03,5.25E-03,2.84E+02
4.75E-03,5.75E-03,2.84E+02
5.25E-03,5.25E-03,2.84E+02
4.25E-03,5.75E-03,2.84E+02
4.75E-03,5.25E-03,2.84E+02
3.75E-03,5.75E-03,2.84E+02
4.25E-03,5.25E-03,2.84E+02
3.25E-03,5.75E-03,2.84E+02
2.47E-02,4.25E-03,2.85E+02
2.47E-02,4.75E-03,2.86E+02
2.42E-02,4.25E-03,2.85E+02
2.47E-02,5.25E-03,2.87E+02
2.42E-02,4.75E-03,2.85E+02
2.37E-02,4.25E-03,2.84E+02
2.47E-02,5.75E-03,2.91E+02
2.42E-02,5.25E-03,2.87E+02
2.37E-02,4.75E-03,2.85E+02
2.33E-02,4.25E-03,2.84E+02
2.42E-02,5.75E-03,2.90E+02
2.37E-02,5.25E-03,2.87E+02
2.33E-02,4.75E-03,2.85E+02
2.28E-02,4.25E-03,2.84E+02
2.37E-02,5.75E-03,2.90E+02
2.33E-02,5.25E-03,2.87E+02
2.27E-02,4.75E-03,2.85E+02
2.23E-02,4.25E-03,2.84E+02
2.33E-02,5.75E-03,2.90E+02
2.27E-02,5.25E-03,2.87E+02
2.23E-02,4.75E-03,2.85E+02
2.18E-02,4.25E-03,2.84E+02
2.27E-02,5.75E-03,2.89E+02
2.23E-02,5.25E-03,2.86E+02
2.18E-02,4.75E-03,2.85E+02
2.13E-02,4.25E-03,2.84E+02
2.23E-02,5.75E-03,2.89E+02
2.18E-02,5.25E-03,2.86E+02
2.13E-02,4.75E-03,2.85E+02
2.08E-02,4.25E-03,2.84E+02
2.18E-02,5.75E-03,2.89E+02
2.13E-02,5.25E-03,2.86E+02
2.07E-02,4.75E-03,2.85E+02
2.03E-02,4.25E-03,2.84E+02
2.13E-02,5.75E-03,2.88E+02
2.07E-02,5.25E-03,2.86E+02
2.03E-02,4.75E-03,2.85E+02
1.98E-02,4.25E-03,2.84E+02
2.07E-02,5.75E-03,2.88E+02
2.03E-02,5.25E-03,2.86E+02
1.98E-02,4.75E-03,2.84E+02
1.92E-02,4.25E-03,2.84E+02
2.03E-02,5.75E-03,2.88E+02
1.98E-02,5.25E-03,2.86E+02
1.92E-02,4.75E-03,2.84E+02
1.98E-02,5.75E-03,2.88E+02
1.92E-02,5.25E-03,2.85E+02
1.92E-02,5.75E-03,2.87E+02
1.88E-02,5.25E-03,2.85E+02
1.88E-02,5.75E-03,2.87E+02
1.82E-02,5.25E-03,2.85E+02
1.82E-02,5.75E-03,2.87E+02
3.73E-02,5.75E-03,3.01E+02
3.67E-02,5.75E-03,3.01E+02
3.73E-02,5.25E-03,2.95E+02
3.62E-02,5.75E-03,3.01E+02
3.67E-02,5.25E-03,2.94E+02
3.73E-02,4.75E-03,2.90E+02
3.58E-02,5.75E-03,3.00E+02
3.62E-02,5.25E-03,2.94E+02
3.67E-02,4.75E-03,2.90E+02
3.73E-02,4.25E-03,2.88E+02
3.53E-02,5.75E-03,3.00E+02
3.58E-02,5.25E-03,2.94E+02
3.62E-02,4.75E-03,2.90E+02
3.67E-02,4.25E-03,2.88E+02
3.47E-02,5.75E-03,2.99E+02
3.53E-02,5.25E-03,2.93E+02
3.58E-02,4.75E-03,2.90E+02
3.62E-02,4.25E-03,2.88E+02
